ncols	132
nrows	153
xllcorner	524494.297235
yllcorner	3738115.816411
cellsize	54.720000
NODATA_value	-32768.000000
117.60	108.86	102.20	101.43	98.50	96.55	96.41	100.04	104.03	103.34	101.97	105.62	115.31	131.36	147.66	160.38	169.96	178.20	185.78	185.97	179.31	170.20	158.98	143.63	124.83	111.52	106.26	104.73	104.62	104.66	104.19	104.75	102.42	95.03	86.32	80.69	79.27	84.15	92.36	98.31	103.83	107.15	108.30	108.04	108.55	121.39	138.75	150.51	161.75	170.00	171.26	171.40	171.63	167.53	157.05	145.98	137.89	134.05	135.98	141.86	148.18	154.60	157.82	159.84	164.74	168.25	161.12	145.90	130.31	116.14	106.06	101.32	100.57	99.90	102.01	111.23	123.98	134.93	145.76	154.01	161.15	170.13	177.74	181.39	184.82	190.30	194.25	195.14	193.57	191.68	190.18	187.15	183.15	180.59	180.06	181.79	187.34	198.33	215.98	234.34	247.35	262.95	286.48	308.56	299.33	307.39	335.89	347.47	316.16	309.64	324.01	305.69	277.35	246.38	221.88	200.01	180.43	163.23	149.98	140.71	134.50	129.14	125.48	122.72	119.91	119.91	121.53	131.54	143.64	151.20	151.20	151.20	
117.60	108.86	102.20	101.43	98.50	96.55	96.41	100.04	104.03	103.34	101.97	105.62	115.31	131.36	147.66	160.38	169.96	178.20	185.78	185.97	179.31	170.20	158.98	143.63	124.83	111.52	106.26	104.73	104.62	104.66	104.19	104.75	102.42	95.03	86.32	80.69	79.27	84.15	92.36	98.31	103.83	107.15	108.30	108.04	108.55	121.39	138.75	150.51	161.75	170.00	171.26	171.40	171.63	167.53	157.05	145.98	137.89	134.05	135.98	141.86	148.18	154.60	157.82	159.84	164.74	168.25	161.12	145.90	130.31	116.14	106.06	101.32	100.57	99.90	102.01	111.23	123.98	134.93	145.76	154.01	161.15	170.13	177.74	181.39	184.82	190.30	194.25	195.14	193.57	191.68	190.18	187.15	183.15	180.59	180.06	181.79	187.34	198.33	215.98	234.34	247.35	262.95	286.48	308.56	299.33	307.39	335.89	347.47	316.16	309.64	324.01	305.69	277.35	246.38	221.88	200.01	180.43	163.23	149.98	140.71	134.50	129.14	125.48	122.72	119.91	119.91	121.53	131.54	143.64	151.20	151.20	151.20	
117.60	108.86	102.20	101.43	98.50	96.55	96.41	100.04	104.03	103.34	101.97	105.62	115.31	131.36	147.66	160.38	169.96	178.20	185.78	185.97	179.31	170.20	158.98	143.63	124.83	111.52	106.26	104.73	104.62	104.66	104.19	104.75	102.42	95.03	86.32	80.69	79.27	84.15	92.36	98.31	103.83	107.15	108.30	108.04	108.55	121.39	138.75	150.51	161.75	170.00	171.26	171.40	171.63	167.53	157.05	145.98	137.89	134.05	135.98	141.86	148.18	154.60	157.82	159.84	164.74	168.25	161.12	145.90	130.31	116.14	106.06	101.32	100.57	99.90	102.01	111.23	123.98	134.93	145.76	154.01	161.15	170.13	177.74	181.39	184.82	190.30	194.25	195.14	193.57	191.68	190.18	187.15	183.15	180.59	180.06	181.79	187.34	198.33	215.98	234.34	247.35	262.95	286.48	308.56	299.33	307.39	335.89	347.47	316.16	309.64	324.01	305.69	277.35	246.38	221.88	200.01	180.43	163.23	149.98	140.71	134.50	129.14	125.48	122.72	119.91	119.91	121.53	131.54	143.64	151.20	151.20	151.20	
111.60	108.19	113.41	112.79	110.11	110.51	113.80	118.36	120.71	120.48	122.46	129.99	141.45	153.80	166.28	172.29	173.48	173.98	170.74	159.73	148.85	143.95	136.54	121.61	108.97	105.83	108.09	111.97	115.62	117.24	117.56	116.09	111.27	105.30	100.98	98.88	101.78	109.55	117.92	126.96	135.22	139.20	141.25	143.30	149.70	162.86	171.96	178.71	185.01	185.40	182.69	182.06	179.64	172.49	164.65	160.96	159.95	160.71	164.36	168.47	172.89	176.71	177.74	178.72	179.31	173.04	156.54	140.37	132.57	127.78	122.67	120.11	119.59	122.30	130.14	140.76	150.21	158.86	165.76	169.51	173.60	178.62	181.13	182.28	186.46	190.70	190.39	187.50	185.48	185.69	185.36	182.71	180.85	182.02	184.97	189.50	196.71	207.60	222.17	233.55	241.35	257.01	272.12	266.24	241.63	238.85	266.85	271.12	237.61	231.78	259.64	259.06	230.47	207.05	194.42	181.86	166.71	153.44	144.36	138.05	133.39	129.62	127.29	126.37	127.93	127.93	135.87	146.50	154.23	158.59	158.59	158.59	
135.07	135.17	131.97	124.77	124.45	127.72	131.99	135.18	136.99	137.93	140.53	146.77	155.77	168.74	180.76	181.34	174.37	166.48	156.95	145.09	133.23	121.56	110.93	105.04	102.67	104.14	110.15	120.13	128.34	132.12	132.73	131.07	128.80	127.74	127.18	128.12	134.12	143.67	153.75	165.40	175.74	181.55	185.30	189.71	196.43	205.32	213.17	217.70	216.57	211.07	206.28	202.84	198.63	194.37	191.41	189.90	190.38	193.60	197.93	201.69	204.89	206.70	205.75	203.16	198.79	190.34	177.67	165.73	155.46	148.62	145.62	144.57	145.85	151.63	160.07	168.43	176.37	183.40	186.59	186.27	186.24	186.91	187.18	187.09	187.11	187.24	187.22	187.06	186.53	185.05	183.20	182.87	184.21	186.74	191.03	197.74	206.49	217.74	231.70	242.29	245.74	247.44	248.38	244.60	237.65	233.02	228.70	221.46	216.46	214.34	210.16	201.68	191.91	181.40	171.76	162.98	154.64	146.49	139.13	133.88	130.72	128.33	127.09	128.05	132.00	132.00	139.54	148.19	156.93	163.75	163.75	163.75	
138.51	136.77	132.65	131.66	136.89	141.84	146.07	148.39	149.17	150.13	153.58	161.15	171.68	182.71	190.18	185.11	171.30	157.32	143.68	129.37	113.85	101.54	93.25	91.72	96.27	105.84	118.92	133.65	142.00	145.08	145.56	145.37	146.99	151.44	157.62	165.86	177.65	192.42	207.73	223.39	236.75	244.07	249.27	254.36	259.06	262.75	263.20	259.86	252.70	243.86	237.35	233.29	230.45	229.12	229.88	232.51	236.27	240.24	243.13	244.14	244.00	242.77	240.02	235.63	228.51	218.50	206.50	195.40	186.31	179.77	177.17	177.42	180.10	185.97	192.66	197.53	200.79	203.24	203.06	199.79	196.71	194.70	192.45	190.50	189.20	188.37	187.87	188.10	188.01	186.82	185.62	186.31	189.18	193.70	200.14	208.83	219.01	230.58	243.46	250.88	248.68	244.24	240.30	233.22	223.42	211.25	200.60	191.51	185.47	181.01	175.46	168.92	163.76	159.86	155.74	150.93	145.16	138.73	132.60	127.89	125.15	123.69	123.67	125.71	130.25	130.25	137.49	145.85	156.38	167.02	167.02	167.02	
117.82	114.78	121.36	137.49	147.22	153.12	156.93	157.30	157.06	158.57	163.94	173.94	183.88	191.74	193.06	181.50	162.81	145.88	130.48	114.85	100.17	89.30	83.96	87.21	98.11	114.48	133.33	150.08	156.72	157.94	158.43	160.88	167.10	176.70	188.12	202.58	221.05	241.63	260.79	275.66	284.56	289.29	292.58	294.95	295.41	292.83	287.16	278.58	267.94	258.36	252.36	249.33	248.86	250.73	254.68	259.65	264.47	267.90	268.93	267.75	264.96	260.98	256.56	251.17	243.69	233.71	223.56	215.01	208.38	204.23	203.37	204.82	207.96	212.43	215.74	216.31	215.47	214.22	211.06	205.72	200.71	196.76	193.06	190.28	188.45	187.27	186.97	187.68	188.11	187.55	187.11	188.90	193.14	199.31	207.69	217.96	228.70	239.73	249.89	252.31	245.08	236.89	229.80	219.56	205.91	191.60	180.38	170.79	163.85	158.77	153.14	148.03	145.77	145.96	146.24	144.54	140.60	135.27	129.72	125.54	123.80	123.39	123.69	125.89	130.87	130.87	138.00	145.28	155.02	169.96	169.96	169.96	
116.50	115.84	132.41	146.49	153.77	158.38	159.62	159.12	159.67	163.54	171.93	181.99	188.87	191.37	186.07	169.79	150.15	134.40	120.98	108.78	98.97	93.13	92.16	98.74	113.76	131.50	149.50	163.63	168.50	170.00	172.65	177.62	186.38	197.25	209.39	224.60	243.11	260.79	273.55	279.38	278.00	273.65	271.08	269.10	265.91	261.77	256.17	249.07	241.30	235.03	231.88	231.45	233.28	236.74	240.77	244.62	247.67	249.35	249.52	248.31	245.78	242.01	237.01	231.45	224.76	217.43	211.48	207.54	205.49	205.17	206.86	209.61	212.72	216.00	217.28	215.91	213.69	211.47	207.63	201.70	196.09	191.60	187.62	184.85	183.04	182.16	182.43	183.65	184.31	184.16	184.20	186.76	192.00	199.22	208.58	218.96	228.50	237.27	243.91	241.36	229.48	218.90	211.54	201.64	190.05	178.71	170.05	163.72	159.77	155.82	149.42	144.80	143.68	144.03	144.79	144.49	142.45	139.46	136.25	134.16	134.26	134.78	135.07	137.30	142.86	142.86	149.32	155.37	159.52	175.39	175.39	175.39	
141.38	147.74	155.36	155.05	157.88	159.61	159.06	158.94	161.61	168.38	178.67	186.84	188.98	185.55	174.98	156.57	137.70	124.21	113.62	105.50	101.39	101.49	106.00	116.43	132.42	149.03	164.84	176.35	182.65	186.44	192.32	200.31	210.22	220.18	230.36	242.58	255.72	265.09	267.68	263.02	252.72	242.11	234.55	228.54	223.66	220.35	217.47	213.73	209.63	206.98	206.66	208.27	211.31	214.66	217.16	218.61	219.33	219.55	219.40	218.84	217.51	214.65	210.50	206.35	201.98	198.19	196.74	197.54	199.84	202.98	206.96	210.45	213.16	215.45	215.44	212.90	209.91	207.13	202.74	196.26	190.10	185.26	181.38	178.74	177.20	176.78	177.67	179.15	180.34	180.55	180.95	184.29	190.48	198.62	208.68	218.69	226.38	232.38	235.78	230.02	215.52	203.93	196.02	187.23	177.57	170.19	165.53	161.82	158.95	155.85	151.07	147.69	146.95	147.11	147.64	148.07	147.92	147.52	147.56	148.47	150.48	152.21	153.15	155.82	161.45	161.45	166.59	169.76	170.99	185.18	185.18	185.18	
147.82	153.23	159.41	159.00	160.11	159.18	158.67	161.28	166.30	174.37	183.97	189.38	187.07	178.02	162.88	142.84	124.48	111.93	103.19	98.85	100.34	106.44	116.50	130.75	146.78	162.02	177.44	191.71	203.11	214.36	227.44	240.16	251.03	259.45	266.41	273.03	277.15	275.49	267.59	255.14	240.06	226.60	216.34	206.92	200.41	198.13	197.10	195.32	193.63	193.96	196.41	200.17	204.37	207.53	208.98	209.22	208.97	208.62	208.31	207.88	206.84	204.47	201.06	197.94	195.51	195.21	198.46	204.66	212.26	219.71	225.81	229.50	231.02	230.92	228.12	222.84	216.94	211.23	204.29	195.60	187.51	181.18	176.71	173.94	172.56	172.49	174.12	176.29	178.53	179.67	181.19	186.09	194.04	203.89	215.16	225.04	231.26	234.71	234.58	225.54	209.16	196.87	188.18	179.88	171.98	167.58	165.32	162.52	159.49	155.74	149.72	145.34	144.96	147.05	150.07	153.25	156.53	160.30	164.76	169.78	175.28	179.82	182.86	185.63	188.91	188.91	189.40	186.96	185.65	192.02	192.02	192.02	
